week_start,zone,zone_category,priority_level,minimum_lpcd,supply_hours_per_day,tanker_support_flag,restriction_level,festival_week,local_storage_capacity_mld,pipeline_capacity_mld,pumping_capacity_mld,distribution_losses_pct,effective_deliverable_capacity_mld,population,residential_demand_mld,commercial_demand_mld,industrial_demand_mld,total_demand_mld
30/09/2024,Central,Commercial,Medium,120,6.3,0,Low,No,102.5,124.4,89.7,18.7,72.9,520000,481.57,120.39,24.08,626.04
07/10/2024,North,Residential,High,135,8.1,0,Very Low,Yes,99.4,111,94.8,21.9,74.1,420000,445.92,89.18,44.59,579.69
07/10/2024,South,Residential,High,135,8.1,0,Very Low,Yes,88.3,104,78.7,24.4,59.4,410000,435.3,78.35,43.53,557.18
07/10/2024,East,Mixed,Medium,125,8.2,0,Very Low,Yes,78.8,96.8,76.9,25.2,57.5,360000,382.21,57.33,57.33,496.88
07/10/2024,West,Mixed,Medium,125,8.2,0,Very Low,Yes,84.4,90.5,67.6,26.3,49.8,350000,371.6,55.74,55.74,483.08
07/10/2024,Central,Commercial,Medium,120,7.8,0,Very Low,Yes,101,120.9,86.3,20.8,68.4,520000,552.09,138.02,27.6,717.71
14/10/2024,North,Residential,High,135,7.9,0,Very Low,Yes,97.4,118.6,83.7,21.4,65.8,420000,445.92,89.18,44.59,579.69
14/10/2024,South,Residential,High,135,8.1,0,Very Low,Yes,92.8,101.6,79.2,21.3,62.3,410000,435.3,78.35,43.53,557.18
14/10/2024,East,Mixed,Medium,125,8.1,0,Very Low,Yes,84.1,94.9,74.6,24.4,56.4,360000,382.21,57.33,57.33,496.88
14/10/2024,West,Mixed,Medium,125,8.1,0,Very Low,Yes,73.1,89.4,68,25.2,50.9,350000,371.6,55.74,55.74,483.08
14/10/2024,Central,Commercial,Medium,120,8.5,0,Very Low,Yes,100.3,112.7,95.4,19.4,76.9,520000,552.09,138.02,27.6,717.71
21/10/2024,North,Residential,High,135,8.1,0,Very Low,Yes,95.3,109.9,85,21.8,66.4,420000,445.92,89.18,44.59,579.69
21/10/2024,South,Residential,High,135,8.2,0,Very Low,Yes,84.9,100.5,74.4,22.9,57.4,410000,435.3,78.35,43.53,557.18
21/10/2024,East,Mixed,Medium,125,8.1,0,Very Low,Yes,88.5,93.6,77,26.3,56.7,360000,382.21,57.33,57.33,496.88
21/10/2024,West,Mixed,Medium,125,8.1,0,Very Low,Yes,81.1,97,74,24.2,56.1,350000,371.6,55.74,55.74,483.08
21/10/2024,Central,Commercial,Medium,120,8,0,Very Low,Yes,101.6,114.9,84.5,19.2,68.3,520000,552.09,138.02,27.6,717.71
28/10/2024,North,Residential,High,135,8.1,0,Very Low,Yes,99.2,110.7,88.5,21.1,69.8,420000,445.92,89.18,44.59,579.69
28/10/2024,South,Residential,High,135,7.9,0,Very Low,Yes,88.7,103.3,82.6,21.8,64.6,410000,435.3,78.35,43.53,557.18
28/10/2024,East,Mixed,Medium,125,8,0,Very Low,Yes,75.2,96.1,79.7,24.6,56.7,360000,382.21,57.33,57.33,496.88
28/10/2024,West,Mixed,Medium,125,7.9,0,Very Low,Yes,82.7,91.8,73.4,26.2,54.1,350000,371.6,55.74,55.74,483.08
28/10/2024,Central,Commercial,Medium,120,8,0,Very Low,Yes,95.5,103.3,92.5,18.2,75.7,520000,552.09,138.02,27.6,717.71
04/11/2024,North,Residential,High,135,8.3,0,Very Low,Yes,94.5,109.4,85.5,23.3,65.6,420000,445.92,89.18,44.59,579.69
04/11/2024,South,Residential,High,135,7.7,0,Very Low,Yes,91.3,101.2,82.4,22.4,63.9,410000,435.3,78.35,43.53,557.18
04/11/2024,East,Mixed,Medium,125,8.1,0,Very Low,Yes,83.7,91.1,70.9,24,53.9,360000,382.21,57.33,57.33,496.88
04/11/2024,West,Mixed,Medium,125,7.8,0,Very Low,Yes,78.3,87.1,75.6,24.5,57.1,350000,371.6,55.74,55.74,483.08
04/11/2024,Central,Commercial,Medium,120,7.9,0,Very Low,Yes,94,117.9,90.2,18.5,73.6,520000,552.09,138.02,27.6,717.71
11/11/2024,North,Residential,High,135,8.2,0,Very Low,Yes,98.1,112.5,87.6,21.5,68.8,420000,445.92,89.18,44.59,579.69
11/11/2024,South,Residential,High,135,8,0,Very Low,Yes,88.6,110.7,70.2,20.1,56.1,410000,435.3,78.35,43.53,557.18
11/11/2024,East,Mixed,Medium,125,7.8,0,Very Low,Yes,76.8,99.4,73.8,25.9,54.7,360000,382.21,57.33,57.33,496.88
11/11/2024,West,Mixed,Medium,125,7.9,0,Very Low,Yes,79.1,94.5,76,24.9,57.1,350000,371.6,55.74,55.74,483.08
11/11/2024,Central,Commercial,Medium,120,8.1,0,Very Low,Yes,99.5,119.8,87.5,18.4,71.4,520000,552.09,138.02,27.6,717.71
18/11/2024,North,Residential,High,135,7.9,0,Very Low,Yes,87.6,112.4,85.7,21,67.8,420000,445.92,89.18,44.59,579.69
18/11/2024,South,Residential,High,135,8,0,Very Low,Yes,89.3,108.7,85.4,24,64.9,410000,435.3,78.35,43.53,557.18
18/11/2024,East,Mixed,Medium,125,8,0,Very Low,Yes,81.9,98.4,71.3,24.4,53.9,360000,382.21,57.33,57.33,496.88
18/11/2024,West,Mixed,Medium,125,7.9,0,Very Low,Yes,77,92.9,64.1,26.1,47.3,350000,371.6,55.74,55.74,483.08
18/11/2024,Central,Commercial,Medium,120,8.3,0,Very Low,Yes,101.3,117.3,86.6,19.8,69.5,520000,552.09,138.02,27.6,717.71
25/11/2024,North,Residential,High,135,8.1,0,Very Low,Yes,93.6,112.1,76.9,22.3,59.8,420000,445.92,89.18,44.59,579.69
25/11/2024,South,Residential,High,135,7.7,0,Very Low,Yes,86.8,103,77.8,23.9,59.2,410000,435.3,78.35,43.53,557.18
25/11/2024,East,Mixed,Medium,125,8,0,Very Low,Yes,77.3,93.3,63.7,24.6,48,360000,382.21,57.33,57.33,496.88
25/11/2024,West,Mixed,Medium,125,7.9,0,Very Low,Yes,77,98.9,70.3,26.7,51.5,350000,371.6,55.74,55.74,483.08
25/11/2024,Central,Commercial,Medium,120,8.1,0,Very Low,Yes,104.2,114.6,89.7,17.2,74.3,520000,552.09,138.02,27.6,717.71
02/12/2024,North,Residential,High,135,5.9,0,Low,No,95.8,117.3,85.2,20.4,67.8,420000,396.9,79.38,39.69,515.97
02/12/2024,South,Residential,High,135,6,0,Low,No,89.9,108.3,77.9,24.2,59.1,410000,387.45,69.74,38.75,495.94
02/12/2024,East,Mixed,Medium,125,6.1,0,Low,No,81.8,91,72.1,27,52.6,360000,340.2,51.03,51.03,442.26
02/12/2024,West,Mixed,Medium,125,6.1,0,Low,No,80.2,94,71.2,27.2,51.8,350000,330.75,49.61,49.61,429.98
02/12/2024,Central,Commercial,Medium,120,5.8,0,Low,No,101.9,109.8,88.6,20.1,70.8,520000,491.4,122.85,24.57,638.82
09/12/2024,North,Residential,High,135,5.9,0,Low,No,103,106.6,85.2,23.1,65.5,420000,396.9,79.38,39.69,515.97
09/12/2024,South,Residential,High,135,5.9,0,Low,No,83,103.7,78.6,23.7,60,410000,387.45,69.74,38.75,495.94
09/12/2024,East,Mixed,Medium,125,5.9,0,Low,No,81.4,95.6,75,28.6,53.6,360000,340.2,51.03,51.03,442.26
09/12/2024,West,Mixed,Medium,125,6.3,0,Low,No,79.6,99.7,65,26.9,47.6,350000,330.75,49.61,49.61,429.98
09/12/2024,Central,Commercial,Medium,120,6.1,0,Low,No,99.2,122.5,82,22.1,63.9,520000,491.4,122.85,24.57,638.82
16/12/2024,North,Residential,High,135,5.8,0,Low,No,89,116.3,87,24.6,65.6,420000,396.9,79.38,39.69,515.97
16/12/2024,South,Residential,High,135,6.1,0,Low,No,90.9,99.6,77.5,23.6,59.2,410000,387.45,69.74,38.75,495.94
16/12/2024,East,Mixed,Medium,125,6.3,0,Low,No,84,89.8,81.9,25.2,61.3,360000,340.2,51.03,51.03,442.26
16/12/2024,West,Mixed,Medium,125,6.2,0,Low,No,73.9,92.2,73.9,25.5,55,350000,330.75,49.61,49.61,429.98
16/12/2024,Central,Commercial,Medium,120,5.8,0,Low,No,98.3,119.4,92.4,20.4,73.6,520000,491.4,122.85,24.57,638.82
23/12/2024,North,Residential,High,135,6.4,0,Low,Yes,97.1,111.4,86.5,24.2,65.6,420000,416.75,83.35,41.67,541.77
23/12/2024,South,Residential,High,135,6.7,0,Low,Yes,93.8,107.9,82.3,25.8,61.1,410000,406.82,73.23,40.68,520.73
23/12/2024,East,Mixed,Medium,125,6.4,0,Low,Yes,82.3,91.7,75.9,26.4,55.9,360000,357.21,53.58,53.58,464.37
23/12/2024,West,Mixed,Medium,125,6.6,0,Low,Yes,83.1,89.7,74,26.3,54.5,350000,347.29,52.09,52.09,451.47
23/12/2024,Central,Commercial,Medium,120,6.6,0,Low,Yes,101.9,121.3,87.6,18.6,71.3,520000,515.97,128.99,25.8,670.76
30/12/2024,North,Residential,High,135,6.4,0,Low,Yes,97.7,110.4,84.8,22.2,66,420000,416.75,83.35,41.67,541.77
30/12/2024,South,Residential,High,135,6.5,0,Low,Yes,94.9,100,76.3,24.4,57.7,410000,406.82,73.23,40.68,520.73
30/12/2024,East,Mixed,Medium,125,6,0,Low,Yes,75.6,94.3,70.6,27,51.5,360000,357.21,53.58,53.58,464.37
30/12/2024,West,Mixed,Medium,125,6.3,0,Low,Yes,73.5,88.6,72.1,24.6,54.4,350000,347.29,52.09,52.09,451.47
30/12/2024,Central,Commercial,Medium,120,6.5,0,Low,Yes,97.6,120.2,89.9,18.9,72.9,520000,515.97,128.99,25.8,670.76
